
179,8.1,The Big Sleep (1946),"47,119",Howard Hawks
180,8.1,The King's Speech (2010),"288,159",Tom Hooper
181,8.1,Stand by Me (1986),"182,230",Rob Reiner
182,8.1,The 400 Blows (1959),"46,028",Francois Truffaut
183,8.1,Twelve Monkeys (1995),"316,945",Terry Gilliam
184,8.1,Groundhog Day (1993),"282,250",Harold Ramis
185,8,Donnie Darko (2001),"398,128",Richard Kelly
186,8,Dog Day Afternoon (1975),"126,624",Sidney Lumet
187,8,Amores Perros (2000),"120,868",Alejandro Gonzalez Inarritu
188,8,Howl's Moving Castle (2004),"121,059",Hayao Miyazaki
189,8,Mary and Max (2009),"67,759",Adam Elliot
190,8,Gandhi (1982),"110,584",Richard Attenborough
191,8,The Bourne Ultimatum (2007),"322,172",Paul Greengrass
192,8,A Beautiful Mind (2001),"344,294",Ron Howard
193,8,Persona (1966),"36,479",Ingmar Bergman
194,8,The Killing (1956),"44,571",Stanley Kubrick
195,8,The Graduate (1967),"149,389",Mike Nichols
196,8,Rush (2013),"28,676",Ron Howard
197,8,Black Swan (2010),"373,745",Darren Aronofsky
198,8,The Princess Bride (1987),"207,589",Rob Reiner
199,8,Who's Afraid of Virginia Woolf? (1966),"38,192",Mike Nichols
200,8,The Hustler (1961),"43,710",Robert Rossen
201,8,The Man Who Shot Liberty Valance (1962),"39,917",John Ford
202,8,La Strada (1954),"32,409",Federico Fellini
203,8,Anatomy of a Murder (1959),"32,242",Saul Bass
204,8,8½ (1963),"54,451",Federico Fellini
205,8,The Manchurian Candidate (1962),"53,501",John Frankenheimer
206,8,Rocky (1976),"220,323",John G. Avildsen
207,8,The Exorcist (1973),"213,984",William Friedkin
208,8,Slumdog Millionaire (2008),"425,904",Danny boyle
209,8,In the Name of the Father (1993),"65,291",Jim Sheridan
210,8,Stalag 17 (1953),"33,518",Billy Wilder
211,8,Rope (1948),"66,041",Alfred Hitchcock
212,8,The Wild Bunch (1969),"51,331",Sam Peckinpah
213,8,Barry Lyndon (1975),"69,583",Stanley Kubrick
214,8,"Monsters, Inc. (2001)","328,336",Lee Unkrich
215,8,Fanny and Alexander (1982),"27,430",Ingmar Bergman
